Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1ff8lsrJ2kuZuofMw81EQo,"Save a Prayer - 2009 Remaster","Rio (Collector's Edition)","Duran Duran",1982-05-10,333306,76,false,31cz7zqjoco5mj43sax2be24s4a4,2026-03-01T16:20:04Z,"new wave,synthpop","Parlophone UK",0.572,0.706,9,-8.707,0,0.0283,0.35,0,0.159,0.671,113.595,4
spotify:track:3oEkrIfXfSh9zGnE7eBzSV,"The Winner Takes It All","Super Trouper","ABBA",1980,294720,89,false,31cz7zqjoco5mj43sax2be24s4a4,2026-03-01T16:20:04Z,"","Polar Music International AB",0.454,0.788,6,-6.748,1,0.0371,0.574,0.000766,0.0859,0.52,126.15,4
spotify:track:09xhawlPUifhftf8zuie7w,"Fever","Fever","Buckshot;fakemink",2025-08-22,144521,85,true,31w5z2cwgg4rheemghre3dquiabu,2026-03-09T10:00:38Z,"cloud rap","-",0.785,0.947,0,-2.24,1,0.0341,0.0458,0.00000132,0.0458,0.782,114.976,4
spotify:track:5S8jc9sCle880PjbwnEzsY,"Aoi, Koi, Daidaiiro No Hi","World Is Yours","MASS OF THE FERMENTING DREGS",2009-01-21,282173,74,false,31cz7zqjoco5mj43sax2be24s4a4,2026-03-01T16:20:04Z,"j-rock,shoegaze,japanese indie,math rock","UNIVERSAL MUSIC ARTISTS LLC",0.45,0.932,2,-2.769,0,0.0642,0.000718,0.0441,0.115,0.279,149.039,4
spotify:track:1DwscornXpj8fmOmYVlqZt,"Stateside + Zara Larsson","Fancy Some More?","PinkPantheress;Zara Larsson",2025-10-10,184761,94,false,31cz7zqjoco5mj43sax2be24s4a4,2026-03-01T16:20:04Z,"bedroom pop","Warner Records",0.676,0.664,6,-5.919,1,0.0864,0.0725,0.0000565,0.26,0.847,123.455,4
spotify:track:6dBUzqjtbnIa1TwYbyw5CM,"Lovers Rock","French Exit","TV Girl",2014-06-05,213920,89,false,31cz7zqjoco5mj43sax2be24s4a4,2026-03-01T16:20:04Z,"","TV Girl",0.559,0.871,5,-5.338,0,0.0397,0.00000753,0.00545,0.096,0.572,104.97,4
spotify:track:6jgkEbmQ2F2onEqsEhiliL,"My Kind of Woman","2","Mac DeMarco",2012-10-16,190845,84,false,31cz7zqjoco5mj43sax2be24s4a4,2026-03-01T16:20:04Z,"indie,lo-fi indie","Captured Tracks",0.501,0.765,6,-7.063,0,0.0281,0.00294,0.49,0.184,0.46,91.771,4
spotify:track:2R4AlwtrrkMaRKojcTIzmL,"For the First Time","This Old Dog","Mac DeMarco",2017-05-05,182306,85,false,31cz7zqjoco5mj43sax2be24s4a4,2026-03-01T16:20:04Z,"indie,lo-fi indie","Captured Tracks",0.551,0.529,5,-10.469,0,0.0517,0.296,0.0093,0.178,0.521,75.515,4
spotify:track:0gCkIC8Zo808SZ1BzYIGwV,"U Weren't Here I Really Miss You - slowed","U Weren't Here I Really Miss You (slowed)","Cult Member;Mia Martina",2025-01-07,188464,69,false,31cz7zqjoco5mj43sax2be24s4a4,2026-03-01T16:20:04Z,"lo-fi house","broke",0.592,0.81,5,-7.627,1,0.0711,0.104,0.918,0.559,0.323,104.514,4
spotify:track:7K3Lc3TfSR14aTOjIH7TUj,"Just The Way You Are","Just The Way You Are","Milky",2002-10-04,210070,87,false,31w5z2cwgg4rheemghre3dquiabu,2026-03-09T01:15:17Z,"","Ministry of Sound Recordings",0.669,0.965,8,-4.061,1,0.0362,0.000645,0.00556,0.263,0.973,129.998,4
spotify:track:1zquzG3zzoi0eENDlKEZHY,"Coquette Habit","Coquette Habit","Sophie Woodhouse",2024-07-27,136793,61,false,31cz7zqjoco5mj43sax2be24s4a4,2026-03-01T16:20:04Z,"","2939314 Records DK",0.499,0.404,8,-15.217,1,0.0267,0.951,0.975,0.083,0.165,131.288,4
spotify:track:3TiBcPm3ThutmQjoACdrK0,"地球ぎ (『聖闘士星矢 冥王ハーデス十二宮編』OP)","熱烈！アニソン魂 THE BEST カバー楽曲集 TVアニメシリーズ『聖闘士星矢』","まつざわゆみ",2016,247238,48,false,31cz7zqjoco5mj43sax2be24s4a4,2026-03-01T16:20:04Z,"anime","fyto inc.",0.674,0.536,7,-9.651,0,0.0302,0.36,0.000703,0.144,0.199,103.051,4
spotify:track:1KoWiQGR2ry2N1NvAN5r0M,"Stray.wav","Stray.wav","$undown",2024-12-10,102460,68,false,31cz7zqjoco5mj43sax2be24s4a4,2026-03-01T16:20:04Z,"","$undown",0.494,0.835,8,-5.252,1,0.0425,0.00564,0.944,0.504,0.737,96.02,4
spotify:track:52noeR9sobs1a0E0Z6VuUO,"Save a Prayer","Decade","Duran Duran",1989-11-20,329146,48,false,31cz7zqjoco5mj43sax2be24s4a4,2026-03-01T16:20:04Z,"new wave,synthpop","Parlophone UK",0.579,0.758,7,-6.697,1,0.0288,0.348,0.0000333,0.335,0.652,113.36,4
spotify:track:6uZm4IvkJPbETKFOjRhr1c,"I Want Things to Be Beautiful","I Want Things to Be Beautiful","Devi McCallion",2025-01-31,106860,77,false,31cz7zqjoco5mj43sax2be24s4a4,2026-03-01T16:20:04Z,"","Blacksquares Media",0.783,0.999,10,-4.247,1,0.121,0.0281,0.00805,0.0672,0.647,125.965,4
spotify:track:338vcj5hdrcNJcMf0y4Fsm,"strangers - slowed + reverb","strangers (versions)","proderics;melodybloom",2025-10-03,151000,58,false,31cz7zqjoco5mj43sax2be24s4a4,2026-03-01T16:20:04Z,"","proderics and melodybloom",0.711,0.416,7,-16.136,0,0.0448,0.811,0.309,0.107,0.724,120.017,4
spotify:track:6LUGvXEAK8WxIBYK43uoTb,"Back to the Old House - 2011 Remaster","Louder Than Bombs","The Smiths",1987,186626,84,false,31cz7zqjoco5mj43sax2be24s4a4,2026-03-01T16:20:04Z,"new wave,madchester,jangle pop","WM UK",0.626,0.488,2,-7.805,1,0.0253,0.0102,0.000188,0.141,0.404,104.13,3
spotify:track:5zgw3VsXS3FYxcgk01VihI,"Save A Prayer - Instrumental","Drew's Famous Instrumental Pop Collection (Vol. 34)","The Hit Crew",2018-05-25,336947,28,false,31cz7zqjoco5mj43sax2be24s4a4,2026-03-01T16:20:04Z,"","Drew's Entertainment",0.621,0.538,0,-13.75,1,0.033,0.0000395,0.719,0.133,0.571,113.056,4
spotify:track:7rF8OPrkBtHPWy6nAW93iQ,"Stray.wav (slowed)","Stray.wav (slowed)","$undown",2024-12-30,115006,68,false,31cz7zqjoco5mj43sax2be24s4a4,2026-03-01T16:20:04Z,"","$undown",0.427,0.778,6,-5.95,1,0.0544,0.0208,0.936,0.199,0.808,171.002,4
spotify:track:2qRMnItMLesizxbPqIwcSm,"Mai","Euphories","Videoclub",2021-01-29,217586,71,false,31cz7zqjoco5mj43sax2be24s4a4,2026-03-01T16:20:04Z,"french indie pop,french pop","Petit Lion Productions",0.624,0.645,2,-9.967,0,0.0279,0.393,0.00311,0.371,0.32,105.017,4
spotify:track:53mChDyESfwn9Dz8poHRf6,"Taking What's Not Yours","Who Really Cares","TV Girl",2016-02-25,205650,81,false,31cz7zqjoco5mj43sax2be24s4a4,2026-03-01T16:20:04Z,"","TV Girl",0.712,0.914,1,-5.675,1,0.101,0.65,0,0.0579,0.697,100.406,4
spotify:track:3IznIgmXtrUaoPWpQTy5jB,"Not Allowed","Who Really Cares","TV Girl",2016-02-25,167864,85,true,31cz7zqjoco5mj43sax2be24s4a4,2026-03-01T16:20:04Z,"","TV Girl",0.67,0.905,1,-6.855,1,0.129,0.669,0.000227,0.349,0.563,104.965,4
spotify:track:2fhOljbX79loRcdl47SFye,"Moonlight on the River","This Old Dog","Mac DeMarco",2017-05-05,422613,81,false,31cz7zqjoco5mj43sax2be24s4a4,2026-03-01T16:20:04Z,"indie,lo-fi indie","Captured Tracks",0.662,0.478,9,-8.631,1,0.0451,0.252,0.833,0.216,0.43,139.98,4
spotify:track:7H7NyZ3G075GqPx2evsfeb,"Chamber Of Reflection","Salad Days","Mac DeMarco",2014-04-01,231723,85,false,31cz7zqjoco5mj43sax2be24s4a4,2026-03-01T16:20:04Z,"indie,lo-fi indie","Captured Tracks",0.538,0.557,11,-8.678,1,0.0914,0.262,0.914,0.102,0.506,131.03,4
spotify:track:0Yfpc5zHc9pElVCQ1bPlF4,"This Love","Vulgar Display of Power","Pantera",1992,393706,74,true,31cz7zqjoco5mj43sax2be24s4a4,2026-03-01T16:20:04Z,"groove metal,metal,thrash metal,heavy metal","Atlantic Records",0.402,0.73,6,-9.327,1,0.0455,0.000312,0.323,0.103,0.296,104.527,4
spotify:track:42qNWdLKCI41S4uzfamhFM,"Duvet","Twilight","bôa",2001-03-21,203600,87,false,31cz7zqjoco5mj43sax2be24s4a4,2026-03-01T16:20:04Z,"","Nettwerk Music Group",0.583,0.888,11,-9.414,0,0.0349,0.191,0.0000458,0.0936,0.706,93.206,4
